Wall time,Step,Value
1775833687.2734377,2070000,-48265340.0
1775833692.6497743,2080000,-48400276.0
1775833698.1363504,2090000,-48152728.0
1775833755.7569077,2100000,-48325240.0
1775833762.0129895,2110000,-48282584.0
1775833767.3433816,2120000,-48292216.0
1775833823.8158855,2130000,-47627272.0
1775833829.1869605,2140000,-47613640.0
1775833834.5656314,2150000,-47671820.0
1775833839.9212208,2160000,-47739376.0
1775833899.4560764,2170000,-48437928.0
1775833904.8165863,2180000,-48414740.0
1775833910.1282911,2190000,-48427700.0
1775833970.1479378,2200000,-48150656.0
1775833976.8377697,2210000,-48356132.0
1775833982.2327821,2220000,-48091372.0
1775834041.599648,2230000,-48350284.0
1775834047.1865578,2240000,-48273272.0
1775834052.6463823,2250000,-48464728.0
1775834058.2559683,2260000,-48294872.0
1775834121.8279755,2270000,-48221668.0
1775834127.4146454,2280000,-48117820.0
1775834133.149541,2290000,-48043324.0
1775834196.5753686,2300000,-48478392.0
1775834203.0008852,2310000,-48418332.0
1775834208.4692013,2320000,-48391960.0
1775834266.7596743,2330000,-48171896.0
1775834272.2588658,2340000,-48124404.0
1775834277.6408403,2350000,-48327632.0
1775834335.6986895,2360000,-48466336.0
1775834341.2027047,2370000,-48644632.0
1775834346.6268313,2380000,-48486032.0
1775834352.0800169,2390000,-48445708.0
1775834412.2729704,2400000,-48675552.0
1775834419.4488156,2410000,-48987848.0
1775834425.1015909,2420000,-48868836.0
1775834490.4273064,2430000,-48445612.0
1775834496.2200108,2440000,-48493236.0
1775834501.805796,2450000,-48550284.0
1775834562.4617362,2460000,-48389068.0
1775834568.1888247,2470000,-48283760.0
1775834573.6672082,2480000,-48509236.0
1775834579.2331707,2490000,-48447700.0
1775834644.9189548,2500000,-48531040.0
1775834652.3068788,2510000,-48814768.0
1775834658.7112029,2520000,-48541032.0
1775834723.62007,2530000,-48433752.0
1775834729.3747866,2540000,-48424904.0
1775834735.3857887,2550000,-48466772.0
1775834798.2264314,2560000,-48412364.0
1775834804.0862377,2570000,-48359716.0
1775834809.9054368,2580000,-48581528.0
1775834869.0346043,2590000,-48639916.0
1775834874.555439,2600000,-48527880.0
1775834881.1150312,2610000,-48672400.0
1775834886.605415,2620000,-48671708.0
1775834948.4110901,2630000,-48808752.0
1775834953.9076035,2640000,-48703256.0
1775834959.4695723,2650000,-48711376.0
1775835022.7969484,2660000,-48780220.0
1775835028.3499408,2670000,-48796236.0
1775835033.8580272,2680000,-48732044.0
1775835094.4057987,2690000,-48682720.0
1775835099.9411082,2700000,-48760248.0
1775835107.1469843,2710000,-48727888.0
1775835168.1885302,2720000,-48588124.0
1775835173.576317,2730000,-48554908.0
1775835179.0461316,2740000,-48619824.0
1775835184.5848646,2750000,-48631640.0
1775835243.8548882,2760000,-48651844.0
1775835249.3355167,2770000,-48659076.0
1775835254.8402314,2780000,-48739788.0
1775835312.7605975,2790000,-48765564.0
1775835318.11763,2800000,-48854776.0
1775835325.3024921,2810000,-48810276.0
1775835383.4688678,2820000,-48981340.0
1775835388.8987496,2830000,-48919772.0
1775835394.3191426,2840000,-49024460.0
1775835399.8106897,2850000,-49105048.0
1775835457.4451923,2860000,-48790420.0
1775835462.9190514,2870000,-48651576.0
1775835468.4703908,2880000,-48691656.0
1775835526.350073,2890000,-48915428.0
1775835531.9751422,2900000,-48832720.0
1775835538.3178763,2910000,-48769032.0
1775835595.5684297,2920000,-48884784.0
1775835600.9665637,2930000,-48803848.0
1775835606.3580935,2940000,-48649788.0
1775835663.3873203,2950000,-48877956.0
1775835669.0457978,2960000,-48924336.0
1775835674.810476,2970000,-48988204.0
1775835680.4012969,2980000,-48829748.0
1775835737.549297,2990000,-48532888.0
1775835742.8950517,3000000,-48635268.0
1775835749.681386,3010000,-48628820.0
1775835808.6425538,3020000,-48592640.0
1775835814.3985088,3030000,-48554880.0
1775835820.0781128,3040000,-48660068.0
1775835877.0230064,3050000,-48772916.0
1775835882.418192,3060000,-48734744.0
1775835887.7567294,3070000,-48841308.0
1775835893.0945895,3080000,-48755856.0
1775835950.0109155,3090000,-48570756.0
1775835955.4694417,3100000,-48486680.0
1775835962.305024,3110000,-48574584.0
1775836019.2517738,3120000,-48964372.0
1775836024.670096,3130000,-48875728.0
1775836030.2362323,3140000,-48907768.0
1775836085.8487113,3150000,-48668396.0
1775836091.2775443,3160000,-48720484.0
1775836096.6167905,3170000,-48712616.0
1775836153.6419957,3180000,-48793928.0
1775836159.3652122,3190000,-48742468.0
1775836164.9191506,3200000,-48818572.0
1775836171.4924374,3210000,-48772980.0
1775836229.0116236,3220000,-48691752.0
1775836234.5875669,3230000,-48708512.0
1775836240.276812,3240000,-48614492.0
1775836296.7441783,3250000,-48961452.0
1775836302.3629196,3260000,-49168476.0
1775836307.961724,3270000,-49032740.0
1775836364.0340354,3280000,-49116348.0
1775836369.5007286,3290000,-49221264.0
1775836374.8824708,3300000,-49112388.0
1775836431.6785042,3310000,-48970436.0
1775836437.0495074,3320000,-49112200.0
1775836442.345605,3330000,-48985960.0
1775836447.7721674,3340000,-49051876.0
1775836507.1199837,3350000,-49235724.0
1775836512.6560292,3360000,-49445736.0
1775836518.0526617,3370000,-49034416.0
1775836575.5028064,3380000,-49207576.0
1775836581.164724,3390000,-49225808.0
1775836586.8296459,3400000,-49145976.0
1775836646.6080022,3410000,-48891248.0
1775836652.0891883,3420000,-48966044.0
1775836657.519506,3430000,-48942712.0
1775836663.0802145,3440000,-48946016.0
1775836721.4674468,3450000,-48738108.0
1775836727.0494325,3460000,-48830984.0
1775836732.4329221,3470000,-48794744.0
1775836790.2236052,3480000,-48483088.0
1775836795.7829254,3490000,-48395364.0
1775836801.2323658,3500000,-48499008.0
1775836864.2704978,3510000,-48555644.0
1775836869.9420173,3520000,-48318696.0
1775836875.430415,3530000,-48538068.0
1775836936.7240171,3540000,-48633084.0
1775836942.3782177,3550000,-48571524.0
1775836947.9607844,3560000,-48497928.0
1775836953.5084372,3570000,-48619208.0
1775837014.149737,3580000,-48785860.0
1775837019.7003405,3590000,-48764776.0
1775837025.260182,3600000,-48757600.0
1775837086.7077727,3610000,-48824224.0
1775837092.6306314,3620000,-48870976.0
1775837098.8849733,3630000,-48749140.0
1775837161.268157,3640000,-48795020.0
1775837166.781394,3650000,-48784128.0
1775837172.269968,3660000,-48789260.0
1775837177.7999296,3670000,-48837380.0
1775837238.9200058,3680000,-49136828.0
1775837244.628808,3690000,-49348316.0
1775837250.21662,3700000,-49291920.0
1775837313.4286432,3710000,-48920200.0
1775837318.8726974,3720000,-48886040.0
1775837324.4014356,3730000,-48829396.0
1775837388.1962075,3740000,-49011988.0
1775837393.7733958,3750000,-49065632.0
1775837399.3582106,3760000,-49138724.0
1775837464.4065967,3770000,-48945264.0
1775837469.8660483,3780000,-49019408.0
1775837475.4264562,3790000,-48884876.0
1775837480.8924012,3800000,-48939044.0
1775837541.2065315,3810000,-48986100.0
1775837546.7589781,3820000,-49040456.0
1775837552.26396,3830000,-49085648.0
1775837610.7712224,3840000,-49367288.0
1775837616.2229338,3850000,-49091160.0
1775837621.7072177,3860000,-49009796.0
1775837685.7258224,3870000,-49342432.0
1775837691.2669094,3880000,-49374076.0
1775837696.72504,3890000,-49264656.0
1775837756.9166977,3900000,-49038020.0
1775837763.6054988,3910000,-49489068.0
1775837769.3001742,3920000,-49414280.0
1775837774.9217868,3930000,-49375396.0
1775837837.852701,3940000,-49688608.0
1775837843.4127064,3950000,-49567428.0
1775837848.9710171,3960000,-49856580.0
1775837910.1025157,3970000,-49943432.0
1775837915.7760198,3980000,-49831964.0
1775837921.3682306,3990000,-49605096.0
1775837986.6593904,4000000,-49877348.0
1775837993.395378,4010000,-49824464.0
1775837998.80658,4020000,-49689324.0
1775838004.3098016,4030000,-49643832.0
1775838068.1170173,4040000,-49959752.0
1775838073.621061,4050000,-49828520.0
1775838079.1918154,4060000,-50037128.0
1775838142.7780504,4070000,-50092060.0
1775838148.4315255,4080000,-50068096.0
1775838154.0010247,4090000,-49790892.0
1775838219.767944,4100000,-50148148.0
1775838226.4487033,4110000,-49779636.0
1775838232.0593617,4120000,-49989816.0
1775838296.0846167,4130000,-49743964.0
1775838301.7773695,4140000,-49615020.0
1775838307.4099555,4150000,-49769504.0
1775838312.972058,4160000,-49787448.0
1775838377.2029524,4170000,-49757856.0
1775838382.815241,4180000,-49315780.0
1775838388.4113855,4190000,-49480684.0
1775838453.8611217,4200000,-49403204.0
1775838461.0154192,4210000,-49220092.0
1775838466.625702,4220000,-49387844.0
1775838528.6909633,4230000,-49673320.0
1775838534.3739378,4240000,-49770372.0
1775838539.9399772,4250000,-49589068.0
1775838603.0101867,4260000,-49634436.0
1775838608.8551164,4270000,-49591464.0
1775838614.8480215,4280000,-49679476.0
1775838620.7893965,4290000,-49717956.0
1775838691.800486,4300000,-49339660.0
1775838699.232455,4310000,-49402744.0
1775838705.174693,4320000,-49423180.0
1775838765.8585856,4330000,-49460272.0
1775838771.5652022,4340000,-49580056.0
1775838777.4421594,4350000,-49649984.0
1775838839.7412467,4360000,-48965352.0
1775838845.5149305,4370000,-49492520.0
1775838851.5328386,4380000,-49425556.0
1775838857.4232504,4390000,-49230000.0
1775838920.3501437,4400000,-49628572.0
1775838927.4716587,4410000,-49572328.0
1775838933.171254,4420000,-49771836.0
1775838993.5472345,4430000,-49777860.0
1775838998.9959939,4440000,-49825552.0
1775839004.6025858,4450000,-49531868.0
1775839067.201256,4460000,-49531068.0
1775839072.7444317,4470000,-49506612.0
1775839078.343671,4480000,-49577188.0
1775839139.7550528,4490000,-49262488.0
1775839145.3302972,4500000,-49285320.0
1775839152.094861,4510000,-49371632.0
1775839157.7335734,4520000,-49382556.0
1775839218.4336622,4530000,-49245400.0
1775839224.0958326,4540000,-49209268.0
1775839229.7688415,4550000,-49084812.0
1775839294.8053045,4560000,-49465636.0
1775839300.2065525,4570000,-49466644.0
1775839305.7186165,4580000,-49396256.0
1775839364.089577,4590000,-49551688.0
1775839369.5887578,4600000,-49569528.0
1775839376.0549507,4610000,-49508064.0
1775839381.67496,4620000,-49491808.0
1775839441.2696314,4630000,-49533296.0
1775839447.2407398,4640000,-49495968.0
1775839452.8690035,4650000,-49528556.0
1775839516.669027,4660000,-49303256.0
1775839522.100487,4670000,-49339196.0
1775839527.558009,4680000,-49228600.0
1775839586.7694807,4690000,-49495244.0
1775839592.2167594,4700000,-49671732.0
1775839598.5792096,4710000,-49685968.0
1775839659.1987884,4720000,-49425620.0
1775839664.5823536,4730000,-49521504.0
1775839670.0699902,4740000,-49455176.0
1775839675.4929228,4750000,-49658676.0
1775839734.7746837,4760000,-49418256.0
1775839740.281641,4770000,-49290916.0
1775839745.87706,4780000,-49384968.0
1775839810.147099,4790000,-49195616.0
1775839815.5847397,4800000,-48943896.0
1775839822.3883874,4810000,-49063472.0
1775839882.863302,4820000,-49217992.0
1775839888.4217725,4830000,-49271320.0
1775839893.876365,4840000,-49129632.0
1775839952.8386102,4850000,-49334404.0
1775839958.490623,4860000,-49300464.0
1775839964.1784909,4870000,-49000644.0
1775839969.6421824,4880000,-49023372.0
1775840028.7431545,4890000,-49099328.0
1775840034.205218,4900000,-49143020.0
1775840040.991022,4910000,-49468768.0
1775840105.1053135,4920000,-49511796.0
1775840110.821731,4930000,-49348164.0
1775840116.310924,4940000,-49611800.0
1775840181.3155382,4950000,-49562692.0
1775840187.3581917,4960000,-49574624.0
1775840193.243781,4970000,-49636496.0
1775840198.946394,4980000,-49496760.0
1775840261.5838428,4990000,-49956464.0
1775840267.7311532,5000000,-49706072.0
1775840275.4435577,5010000,-49871692.0
